Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
000413.SZ,3.24,2020/09/15,16:29 CST,0.13000011,3.2,3.38,3.18,174342471,,,,,,,
300376.SZ,9.23,2020/09/15,16:29 CST,-0.7300005,9.78,9.85,9.0,174927093,,,,,,,
300325.SZ,3.76,2020/09/15,16:29 CST,-0.089999914,3.94,4.05,3.65,178183040,,,,,,,
300237.SZ,3.95,2020/09/15,16:29 CST,-0.1400001,4.06,4.29,3.82,181953078,,,,,,,
300287.SZ,5.65,2020/09/15,16:29 CST,0.03999996,5.68,5.85,5.53,182022271,,,,,,,
300182.SZ,6.36,2020/09/15,16:29 CST,-0.21999979,6.51,6.64,6.26,183992983,,,,,,,
002027.SZ,7.57,2020/09/15,16:29 CST,0.30999994,7.23,7.62,7.17,183937185,,,,,,,
002131.SZ,3.07,2020/09/15,16:29 CST,-0.08000016,3.13,3.15,3.05,187831574,,,,,,,
002610.SZ,2.43,2020/09/15,16:29 CST,0.0,2.48,2.51,2.4,189267518,,,,,,,
300355.SZ,5.03,2020/09/15,16:29 CST,-0.1699996,5.13,5.45,4.76,195160687,,,,,,,
300301.SZ,8.3,2020/09/08,16:29 CST,0.0,7.7,8.3,7.15,198617663,,,,,,,
300102.SZ,9.02,2020/09/15,16:29 CST,-1.1399994,10.2,10.23,8.88,199653462,,,,,,,
002617.SZ,7.6,2020/09/15,16:29 CST,-0.63999987,8.03,8.07,7.53,210242563,,,,,,,
300343.SZ,4.15,2020/09/15,16:29 CST,0.34000015,3.9,4.44,3.9,209552476,,,,,,,
002506.SZ,3.79,2020/09/15,16:29 CST,0.029999971,3.77,3.82,3.67,230795014,,,,,,,
002400.SZ,7.83,2020/09/15,16:29 CST,0.3499999,8.0,8.1,7.55,229417723,,,,,,,
601899.SS,7.17,2020/09/15,15:00 CST,0.03000021,7.2,7.28,7.11,237318149,,,,,,,
300008.SZ,9.14,2020/09/15,16:29 CST,0.030000687,9.13,10.38,8.9,239013247,,,,,,,
600010.SS,1.18,2020/09/15,15:00 CST,-0.01000011,1.19,1.19,1.17,258763031,,,,,,,
603077.SS,1.54,2020/09/15,15:00 CST,-0.05000007,1.56,1.57,1.51,261475914,,,,,,,
600515.SS,9.47,2020/09/15,15:00 CST,-0.029999733,9.91,10.45,9.21,276179308,,,,,,,
300058.SZ,8.39,2020/09/15,16:29 CST,0.8200002,7.73,8.72,7.73,276779657,,,,,,,
300217.SZ,4.41,2020/09/15,16:29 CST,-0.03999996,4.7,4.7,4.25,278016603,,,,,,,
000100.SZ,6.94,2020/09/15,16:29 CST,-0.099999905,6.99,6.99,6.77,296121263,,,,,,,
600221.SS,1.82,2020/09/15,15:00 CST,0.05000007,1.77,1.86,1.74,344693592,,,,,,,
300116.SZ,3.93,2020/09/15,16:29 CST,-0.26999974,4.22,4.28,3.85,357892876,,,,,,,
300459.SZ,5.49,2020/09/15,16:29 CST,-0.36000013,5.69,5.8,5.33,387849370,,,,,,,
601216.SS,7.89,2020/09/15,15:00 CST,0.7199998,7.12,7.89,7.04,394126627,,,,,,,
000725.SZ,5.22,2020/09/15,16:29 CST,-0.01999998,5.24,5.24,5.13,401237228,,,,,,,
300185.SZ,5.73,2020/09/15,16:29 CST,-0.73,6.66,6.78,5.68,859185037,,,,,,,
SNAP,24.47,2020/09/15,16:00 EDT,0.34000015,24.49,24.88,23.97,24708892,,,,,,,
QRTEA,6.16,2020/09/15,16:00 EDT,-0.13000011,6.64,6.66,5.71,25497169,,,,,,,
INTC,50.0,2020/09/15,16:00 EDT,0.59000015,49.79,50.6,49.73,26985550,,,,,,,
COTY,3.18,2020/09/15,16:00 EDT,-0.21000004,3.39,3.4596,3.18,27657567,,,,,,,
PCG,9.78,2020/09/15,16:00 EDT,0.13999939,9.64,9.98,9.59,27553935,,,,,,,
ORCL,60.94,2020/09/15,16:02 EDT,1.4799995,60.01,61.6799,59.39,30276017,,,,,,,
NCLH,16.97,2020/09/15,16:00 EDT,-0.8200016,17.77,17.842,16.7784,30554359,,,,,,,
OXY,10.71,2020/09/15,16:00 EDT,0.53999996,10.23,10.885,10.2,34606183,,,,,,,
DKNG,48.21,2020/09/15,16:00 EDT,-0.40999985,47.79,49.88,46.5112,34766397,,,,,,,
AAL,13.14,2020/09/15,16:00 EDT,-0.119999886,13.2686,13.66,13.0823,38398631,,,,,,,
WFC,24.88,2020/09/15,16:02 EDT,0.069999695,24.96,25.04,24.56,41911666,,,,,,,
INO,13.63,2020/09/15,16:00 EDT,2.3100004,11.51,14.26,11.51,42351536,,,,,,,
VALE,11.84,2020/09/15,16:00 EDT,0.09000015,11.92,12.08,11.77,43848194,,,,,,,
SIRI,5.36,2020/09/15,16:00 EDT,-0.27999973,5.59,5.59,5.33,46315364,,,,,,,
NKLA,32.83,2020/09/15,16:00 EDT,-2.959999,33.0,34.66,32.06,49758547,,,,,,,
AMD,78.93,2020/09/15,16:00 EDT,1.0299988,77.66,80.33,75.97,57143347,,,,,,,
BAC,25.28,2020/09/15,16:00 EDT,-0.4699993,25.77,25.825,25.19,63715715,,,,,,,
F,7.04,2020/09/15,16:02 EDT,-0.07999992,7.16,7.18,7.0,65177476,,,,,,,
PTON,85.45,2020/09/15,16:00 EDT,3.4399948,83.5,88.5,82.5,67700056,,,,,,,
CCL,15.93,2020/09/15,16:00 EDT,-1.9200001,17.205,17.23,15.85,80444862,,,,,,,
C,44.81,2020/09/15,16:02 EDT,-3.3400002,48.12,48.39,44.67,84499499,,,,,,,
GE,6.1,2020/09/15,16:00 EDT,-0.05000019,6.17,6.22,6.02,86261181,,,,,,,
TSLA,449.76,2020/09/15,16:00 EDT,30.140015,436.56,461.94,430.71,95154822,,,,,,,
NIO,19.19,2020/09/15,16:00 EDT,0.460001,19.1,20.25,18.88,109920462,,,,,,,
AAPL,115.54,2020/09/15,16:00 EDT,0.18499756,118.33,118.829,113.61,178761389,,,,,,,
